StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      110,      00,   195502,   2.22,  31.05,  -5.85,  -5.85,  -1.69,  -5.85,      6,    780,    .26,   -.73,     -1,   -1.3,  -1.67,  -1.64,  -1.81,  19.71,  42.39,
      110,      00,   195503,   1.98,  40.06,  -5.69,  -5.69,  -1.33,  -5.69,     19,    622,  -1.13,   -.58,  -1.27,  -1.36,   -1.8,  -1.72,  -1.91,  27.81,  52.34,
      110,      00,   195504,   2.49,  52.86,  -5.29,  -5.29,   -.56,  -5.29,     44,    298,   -.04,   -.74,   -.45,  -1.73,  -1.48,  -1.82,  -2.07,  40.12,  65.59,
      110,      00,   195505,   2.92,  61.29,  -4.84,  -4.84,   -.31,  -4.84,    119,    140,    .04,    .01,   -.54,  -1.04,  -1.34,  -1.66,  -2.05,  48.29,  74.26,
      110,      00,   195506,   2.47,  66.54,  -4.52,  -4.52,   -.52,  -4.52,    155,     57,  -1.06,   -.66,   -.55,  -1.13,  -1.25,  -1.64,  -2.12,  53.67,  79.41,
      110,      00,   195507,   2.92,  74.44,  -3.95,  -3.95,     .3,  -3.78,    362,     10,    .34,   -.57,   -.44,   -.62,  -1.27,  -1.26,  -2.03,  61.63,  87.24,
      110,      00,   195508,   2.74,  73.87,  -3.57,  -3.57,   -.07,  -3.37,    337,      8,    .34,    .38,   -.37,   -.65,   -.96,   -1.2,  -1.96,  60.51,  87.21,
      110,      00,   195509,   2.11,  65.88,  -3.68,  -3.68,  -1.43,  -3.68,    175,     66,   -.83,   -.42,   -.18,   -.52,  -1.02,  -1.16,  -1.81,   52.2,  79.56,
      110,      00,   195510,   2.04,  55.04,  -3.47,  -3.47,   -.52,  -3.47,     46,    258,   -.27,   -.67,   -.48,   -.59,   -.73,  -1.32,  -1.76,  41.32,  68.72,
      110,      00,   195511,   1.92,  38.23,  -3.37,  -3.37,   -.77,  -3.37,     10,    628,   -.51,   -.53,   -.77,   -.78,   -.88,  -1.15,   -1.7,  26.74,  49.69,
      110,      00,   195512,   2.24,  31.71,  -3.38,  -3.38,  -1.06,  -3.38,      6,    902,   -.24,   -.48,   -.53,   -.51,   -.66,  -1.04,  -1.84,  21.52,  41.88,
      110,      00,   195601,   2.27,  31.01,  -3.28,  -3.28,   -.75,  -3.28,      3,    923,    .03,   -.16,    -.4,   -.57,   -.64,   -.75,  -1.83,  20.89,  41.14,
      110,      00,   195602,   2.62,  32.27,  -2.24,  -2.24,   2.11,  -1.33,     11,    743,   1.12,    .74,    .44,   -.33,   -.45,   -.62,  -1.48,  21.31,  43.23,
      110,      00,   195603,   1.82,  40.75,  -2.67,  -2.67,     -2,  -2.51,     13,    666,  -1.54,   -.19,   -.18,   -.53,   -.53,   -.67,  -1.52,     28,  53.49,
      110,      00,   195604,   2.07,  49.37,  -2.58,  -2.58,   -.54,  -2.57,     23,    405,  -1.04,  -1.82,   -.69,   -.75,   -.84,   -.85,  -1.63,  36.61,  62.13,
      110,      00,   195605,    2.6,  61.77,  -2.78,  -2.78,  -1.39,  -2.78,    115,    171,   -.63,   -1.1,  -1.62,    -.8,  -1.04,   -.98,   -1.6,  48.85,  74.66,
      110,      00,   195606,   2.21,  70.36,  -3.34,  -3.34,  -2.53,  -3.34,    225,     33,  -1.57,   -1.4,  -1.58,  -1.25,  -1.19,  -1.08,  -1.72,  56.75,  83.97,
      110,      00,   195607,   2.78,  73.06,  -3.36,  -3.36,   -1.1,  -3.36,    292,     13,   -.06,  -1.13,  -1.15,  -1.17,  -1.12,  -1.12,  -1.51,  59.92,   86.2,
      110,      00,   195608,   2.21,  71.69,  -3.63,  -3.63,  -1.86,  -3.63,    279,     19,  -1.16,   -.84,  -1.45,  -1.75,  -1.27,  -1.34,  -1.63,  58.08,   85.3,
      110,      00,   195609,   1.44,   65.1,  -4.37,  -4.37,  -3.33,  -4.37,    148,     92,  -2.27,  -2.45,  -1.96,   -2.1,  -1.84,  -1.62,  -1.77,  50.25,  79.93,
      110,      00,   195610,      2,  56.16,  -4.28,  -4.28,  -1.08,  -4.28,     60,    237,   -.34,  -1.53,  -1.79,  -1.82,  -1.75,  -1.71,  -1.95,  42.89,  69.42,
      110,      00,   195611,   1.36,  40.32,  -4.89,  -4.89,  -3.15,  -4.89,      8,    576,  -1.47,  -1.25,  -1.94,  -2.01,  -2.18,  -1.89,  -1.98,  28.35,  52.29,
      110,      00,   195612,      2,  36.23,  -5.62,  -5.62,  -3.71,  -5.62,     10,    710,   -.67,  -1.45,  -1.28,  -1.84,  -2.08,  -1.98,  -2.08,  25.18,  47.26,
      110,      00,   195701,   2.13,  27.07,  -6.22,  -6.22,  -3.53,  -6.22,     11,    993,   -.24,   -.64,  -1.32,  -1.91,  -2.03,  -1.92,  -1.85,  16.97,  37.17,
      110,      00,   195702,   2.08,  38.07,  -6.56,  -6.56,  -2.93,  -6.56,     16,    641,   -.05,   -.25,   -.63,  -1.79,  -1.93,   -2.1,  -1.89,  27.61,  48.54,
      110,      00,   195703,   2.51,  41.27,      0,  -5.88,   -.01,  -5.83,     11,    631,    .08,    .03,   -.17,  -1.14,  -1.67,  -1.89,  -1.65,  30.56,     52,
      110,      00,   195704,   3.65,   50.7,   1.19,  -4.09,   3.56,  -2.69,     32,    331,   2.28,   1.44,   1.21,   -.12,   -1.1,  -1.37,  -1.33,  39.29,   62.1,
      110,      00,   195705,   4.24,  59.65,   2.41,  -2.32,   4.04,    .53,     96,    166,   2.39,    2.8,   2.23,   1.32,   -.12,   -.65,   -.97,  48.09,  71.19,
      110,      00,   195706,   3.65,   68.7,   2.93,  -1.32,    2.3,   2.17,    233,     29,    1.7,   2.89,   3.09,   2.27,    .75,   -.04,   -.68,  56.43,     81,
      110,      00,   195707,   2.28,  74.28,   2.61,   -1.2,   -.07,   2.01,    328,      9,  -1.44,    .24,   1.75,   1.99,    .59,   -.27,   -.87,  61.02,  87.53,
      110,      00,   195708,   2.19,  71.65,   1.99,  -1.42,  -1.03,   1.27,    266,     21,  -1.23,  -1.68,   -.38,   1.77,     .9,   -.27,  -1.02,   58.5,  84.81,
      110,      00,   195709,   2.86,  64.18,   2.23,   -.84,   1.31,   2.01,    149,     72,    .82,   -.09,   -.76,   2.02,   1.47,    .35,   -.84,  51.01,  77.38,
      110,      00,   195710,   2.76,  51.67,    2.8,    2.8,   2.42,    2.8,     29,    338,     .9,   1.09,    .49,   1.41,   1.82,    .73,   -.67,  41.11,  62.24,
